0.0,0.504,0.687,0.365,0.66833335
1.0,0.577,0.843,0.24333334,0.475
2.0,0.688,1.0,0.036666665,0.47
3.0,0.445,0.792,0.0,0.575
4.0,0.386,1.0,0.11,0.9483333
5.0,0.509,0.698,0.19833334,0.39833334
6.0,0.773,1.0,0.19833334,0.49166667
7.0,0.467,1.0,0.3,0.80833334
8.0,0.673,1.0,0.33333334,0.80833334
9.0,0.551,1.0,0.27,0.82166666
10.0,0.604,1.0,0.21833333,0.7416667
11.0,0.023,0.684,0.26,1.0
12.0,0.136,0.753,0.13333334,1.0
13.0,0.061,0.789,0.2,1.0
14.0,0.148,0.786,0.32,1.0
15.0,0.0,0.68,0.096666664,1.0
16.0,0.11,0.731,0.13,1.0
17.0,0.093,0.553,0.123333335,0.7083333
18.0,0.114,0.622,0.14166667,0.6666667
19.0,0.421,0.96,0.28833333,0.7583333
20.0,0.42,0.951,0.46666667,0.72
21.0,0.156,0.754,0.36333334,0.66
22.0,0.294,0.845,0.42666668,0.62
23.0,0.129,1.0,0.17,0.56
24.0,0.699,0.823,0.36166668,0.5233333
25.0,0.567,0.843,0.41833332,0.6566667
26.0,0.001,0.191,0.5083333,0.76166666
27.0,0.534,0.773,0.29666665,0.9216667
28.0,0.339,0.779,0.0,0.73333335
29.0,0.367,0.602,0.0,0.39666668
30.0,0.508,0.835,0.23833333,0.83666664
31.0,0.511,1.0,0.29,1.0
32.0,0.427,0.773,0.155,0.75666666
33.0,0.377,0.799,0.0,0.55833334
34.0,0.186,0.754,0.03,0.8566667
35.0,0.382,1.0,0.0033333334,0.90833336
36.0,0.548,0.711,0.29166666,0.7216667
37.0,0.332,0.585,0.0,0.8283333
38.0,0.063,0.866,0.0,1.0
39.0,0.55,0.716,0.375,0.62666667
40.0,0.623,0.863,0.305,0.585
41.0,0.41,0.756,0.30833334,0.6716667
42.0,0.473,0.943,0.13333334,0.74833333
43.0,0.359,0.587,0.0,0.5733333
44.0,0.014,0.526,0.52666664,0.98333335
45.0,0.318,0.684,0.29,0.84
46.0,0.483,0.624,0.4,0.73333335
47.0,0.341,0.893,0.205,0.995
48.0,0.403,0.992,0.25666666,0.99333334
49.0,0.442,0.684,0.12833333,1.0
50.0,0.314,0.505,0.13166666,1.0
51.0,0.26,0.534,0.08833333,1.0
52.0,0.334,0.519,0.096666664,0.99833333
53.0,0.426,0.619,0.14666666,1.0
54.0,0.368,0.531,0.07666667,0.92333335
55.0,0.001,0.66,0.20666666,0.77
56.0,0.048,0.611,0.0,0.58166665
57.0,0.328,1.0,0.0,0.76166666
58.0,0.511,1.0,0.0,0.78333336
59.0,0.429,0.879,0.0,1.0
60.0,0.013,0.754,0.0,0.9066667
61.0,0.617,1.0,0.0,1.0
62.0,0.0,0.412,0.0,1.0
63.0,0.206,0.502,0.24,0.74666667
64.0,0.601,0.783,0.565,0.7316667
65.0,0.643,0.802,0.51166666,0.68
66.0,0.489,0.622,0.48666668,0.6166667
67.0,0.325,0.416,0.48833334,0.705
68.0,0.64,0.746,0.45833334,0.64666665
69.0,0.239,0.395,0.47666666,0.63666666
70.0,0.316,0.415,0.39166668,0.5133333
71.0,0.328,0.439,0.465,0.685
72.0,0.205,0.314,0.68333334,1.0
73.0,0.723,0.998,0.111666664,0.43833333
74.0,0.717,0.996,0.068333335,0.41666666
75.0,0.546,0.726,0.37,0.955
76.0,0.0,0.189,0.74333334,1.0
77.0,0.0,0.176,0.25,0.95666665
78.0,0.162,0.459,0.10333333,0.47166666
79.0,0.526,0.836,0.0,0.35333332
80.0,0.444,0.622,0.23333333,0.7683333
81.0,0.8,1.0,0.08166666,0.64166665
82.0,0.558,0.78,0.0,0.475
83.0,0.217,0.775,0.0,0.59166664
84.0,0.208,0.577,0.0,0.67833334
85.0,0.239,0.872,0.0,0.62166667
86.0,0.193,0.755,0.285,0.8566667
87.0,0.211,0.783,0.14333333,0.71166664
88.0,0.194,0.586,0.26333332,0.7416667
89.0,0.289,0.595,0.19666667,0.645
90.0,0.089,0.976,0.52166665,1.0
91.0,0.665,1.0,0.18666667,0.8016667
92.0,0.361,1.0,0.0,1.0
93.0,0.253,1.0,0.0,1.0
